  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4825 10225   14 4824 10226 112186 4.010103e-01  63.835978
b   14 4825 10228   14 4825 10229 111956 4.001882e-01  64.236166
b   14 4824 10226   14 4825 10228 109026 3.897148e-01  64.625881
b   14 4823 10223   14 4824 10224 105934 3.786624e-01  65.004543
b   14 4824 10225   14 4823 10223 102954 3.680104e-01  65.372554
b   14 4824 10226   14 4823 10223 101118 3.614476e-01  65.734001
b   14 4825 10228   14 4825 10226 100359 3.587345e-01  66.092736
b   14 4826 10228   14 4825 10226  97619 3.489404e-01  66.441676
b   14 4826 10228   14 4826 10228  95771 3.423347e-01  66.784011
b   14 4824 10226   14 4823 10224  95532 3.414804e-01  67.125491
b   14 4823 10225   14 4824 10224  94284 3.370194e-01  67.462511
b   14 4825 10226   14 4823 10223  93452 3.340454e-01  67.796556
b   14 4823 10224   14 4824 10226  93029 3.325334e-01  68.129089
b   14 4825 10228   14 4826 10228  91849 3.283154e-01  68.457405
b   14 4824 10225   14 4824 10227  91148 3.258097e-01  68.783214
b   14 4824 10224   14 4823 10225  90812 3.246087e-01  69.107823
b   14 4825 10228   14 4824 10226  90042 3.218563e-01  69.429679
b   14 4825 10225   14 4824 10224  89598 3.202692e-01  69.749949
b   14 4823 10223   14 4824 10226  86736 3.100389e-01  70.059987
b   14 4823 10224   14 4823 10224  84091 3.005844e-01  70.360572
b   14 4826 10227   14 4824 10225  83870 2.997944e-01  70.660366
b   14 4824 10224   14 4825 10224  82119 2.935354e-01  70.953902
b   14 4824 10225   14 4825 10224  80501 2.877519e-01  71.241654
b   14 4825 10229   14 4825 10228  79166 2.829799e-01  71.524633
b   14 4824 10227   14 4824 10225  77520 2.770962e-01  71.801730
b   14 4823 10223   14 4825 10226  76494 2.734288e-01  72.075158
b   14 4823 10223   14 4823 10223  76463 2.733180e-01  72.348476
b   14 4826 10228   14 4825 10228  74788 2.673307e-01  72.615807
b   14 4823 10224   14 4823 10223  74638 2.667945e-01  72.882602
b   14 4823 10223   14 4824 10225  72716 2.599243e-01  73.142526
b   14 4830 10227   14 4825 10226  72511 2.591915e-01  73.401717
b   14 4825 10226   14 4823 10224  69663 2.490113e-01  73.650729
b   14 4823 10224   14 4825 10226  67344 2.407220e-01  73.891451
b   14 4823 10223   14 4823 10224  67091 2.398176e-01  74.131268
b   14 4824 10226   14 4826 10228  64755 2.314676e-01  74.362736
b   14 4824 10224   14 4826 10227  63859 2.282648e-01  74.591001
b   14 4823 10225   14 4825 10226  61373 2.193786e-01  74.810379
b   14 4824 10227   14 4826 10227  61228 2.188603e-01  75.029240
b   14 4825 10226   14 4823 10225  59561 2.129016e-01  75.242141
b   14 4830 10227   14 4824 10226  59138 2.113895e-01  75.453531
b   14 4825 10225   14 4825 10225  57020 2.038187e-01  75.657349
b   14 4825 10228   14 4826 10229  56273 2.011486e-01  75.858498
b   14 4825 10226   14 4830 10227  55370 1.979208e-01  76.056419
b   14 4824 10225   14 4825 10228  55012 1.966411e-01  76.253060
b   14 4824 10225   14 4823 10226  54844 1.960406e-01  76.449100
b   14 4824 10224   14 4825 10227  52586 1.879693e-01  76.637070
b   14 4823 10225   14 4823 10224  52497 1.876512e-01  76.824721
b   14 4826 10227   14 4824 10227  51891 1.854850e-01  77.010206
b   14 4823 10224   14 4823 10225  50355 1.799946e-01  77.190201
b   14 4825 10225   14 4826 10227  48997 1.751404e-01  77.365341
b   14 4825 10227   14 4824 10224  48956 1.749939e-01  77.540335
b   14 4826 10227   14 4825 10225  47502 1.697965e-01  77.710131
b   14 4829 10227   14 4825 10226  46167 1.650245e-01  77.875156
b   14 4825 10226   14 4826 10226  45329 1.620291e-01  78.037185
b   14 4824 10225   14 4826 10228  44211 1.580328e-01  78.195218
b   14 4824 10226   14 4823 10226  44109 1.576682e-01  78.352886
b   14 4825 10224   14 4824 10224  43307 1.548014e-01  78.507687
b   14 4826 10227   14 4824 10224  42960 1.535611e-01  78.661248
b   14 4825 10224   14 4824 10225  42332 1.513163e-01  78.812565
b   14 4826 10228   14 4824 10226  41555 1.485389e-01  78.961104
b   14 4824 10226   14 4830 10227  40902 1.462047e-01  79.107308
b   14 4826 10228   14 4826 10229  37890 1.354383e-01  79.242747
b   14 4829 10227   14 4824 10226  37771 1.350129e-01  79.377760
b   14 4824 10224   14 4826 10224  37448 1.338584e-01  79.511618
b   14 4823 10225   14 4823 10225  37357 1.335331e-01  79.645151
b   14 4824 10224   14 4824 10227  37286 1.332793e-01  79.778430
b   14 4826 10229   14 4826 10229  36920 1.319710e-01  79.910401
b   14 4826 10227   14 4826 10229  36317 1.298156e-01  80.040217
b   14 4825 10228   14 4824 10225  35673 1.275136e-01  80.167730
b   14 4825 10227   14 4825 10229  34852 1.245789e-01  80.292309
b   14 4825 10229   14 4825 10229  33631 1.202144e-01  80.412524
b   14 4823 10226   14 4824 10225  33570 1.199964e-01  80.532520
b   14 4824 10227   14 4826 10228  33129 1.184200e-01  80.650940
b   14 4824 10227   14 4825 10229  32970 1.178517e-01  80.768792
b   14 4824 10224   14 4824 10223  32193 1.150743e-01  80.883866
b   14 4824 10224   14 4826 10223  31622 1.130332e-01  80.996899
b   14 4823 10225   14 4823 10223  31029 1.109136e-01  81.107813
b   14 4824 10226   14 4826 10229  30728 1.098376e-01  81.217651
b   14 4824 10226   14 4825 10229  30598 1.093729e-01  81.327024
b   14 4830 10227   14 4824 10225  30518 1.090870e-01  81.436111
b   14 4824 10227   14 4824 10224  29924 1.069637e-01  81.543074
b   14 4825 10229   14 4826 10229  29747 1.063310e-01  81.649405
b   14 4825 10227   14 4825 10225  29721 1.062381e-01  81.755643
b   14 4826 10226   14 4825 10226  29135 1.041434e-01  81.859787
b   14 4825 10226   14 4825 10224  29093 1.039933e-01  81.963780
b   14 4825 10225   14 4825 10227  29034 1.037824e-01  82.067563
b   14 4826 10227   14 4826 10226  28280 1.010872e-01  82.168650
b   14 4825 10227   14 4826 10229  28140 1.005868e-01  82.269237
b   14 4826 10226   14 4826 10227  28085 1.003902e-01  82.369627
b   14 4824 10226   14 4825 10224  27986 1.000363e-01  82.469663
