ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
4577871,HM168371,02/06/2006 01:00:00 AM,017XX W SCHOOL ST,0810,THEFT,OVER $500,STREET,false,false,1924,019,32,6,06,1164012,1921953,2006,04/15/2016 08:55:02 AM,41.941466372,-87.672595108,"(41.941466372, -87.672595108)"
1432720,G156969,03/16/2001 10:00:00 PM,055XX S KEELER AV,0820,THEFT,$500 AND UNDER,STREET,false,false,0813,008,,,06,1149263,1867764,2001,08/17/2015 03:03:40 PM,41.793064516,-87.728207833,"(41.793064516, -87.728207833)"
2922283,HJ601828,09/02/2003 12:44:34 AM,076XX S PAULINA ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,0611,006,17,71,04B,1166339,1853977,2003,04/15/2016 08:55:02 AM,41.754884296,-87.665983984,"(41.754884296, -87.665983984)"
10777220,HZ543316,12/06/2016 06:40:00 PM,031XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0915,009,11,60,06,1171812,1884050,2016,12/13/2016 03:49:13 PM,41.837289606,-87.645044602,"(41.837289606, -87.645044602)"
4868759,HM481687,07/17/2006 05:21:09 PM,012XX W LUNT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,2431,024,49,1,08B,1166467,1946646,2006,04/15/2016 08:55:02 AM,42.009172476,-87.662861709,"(42.009172476, -87.662861709)"
6222555,HP307280,04/29/2008 01:10:00 PM,059XX S ROCKWELL ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,SIDEWALK,false,false,0824,008,16,66,26,1160056,1865232,2008,02/04/2016 06:33:39 AM,41.785901075,-87.688700365,"(41.785901075, -87.688700365)"
8283213,HT508110,09/21/2011 09:40:00 PM,075XX S HALSTED ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0621,006,17,71,16,1172272,1854914,2011,02/04/2016 06:33:39 AM,41.757327195,-87.644213747,"(41.757327195, -87.644213747)"
2829547,HJ486932,07/10/2003 09:00:00 PM,075XX S YATES BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0421,004,7,43,26,1193510,1855485,2003,04/15/2016 08:55:02 AM,41.758400861,-87.56636206,"(41.758400861, -87.56636206)"
3018539,HJ691086,10/13/2003 06:45:00 PM,099XX S EWING AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0432,004,10,52,18,1202137,1839870,2003,04/15/2016 08:55:02 AM,41.715336835,-87.535276291,"(41.715336835, -87.535276291)"
9773085,HX423580,09/10/2014 07:45:00 PM,032XX W NORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1421,014,26,23,08B,1154444,1910451,2014,02/04/2016 06:33:39 AM,41.910100954,-87.708069701,"(41.910100954, -87.708069701)"
